"datetime","temp","Model","po4","no3","nh4","si","o2","chla","zoop"
1995-01-01,0.53617820262486,"GLM",0.789121367237688,0.697469523318243,0.680194949618891,0.697325571232469,0.379156672202274,0.409748179458839,0.127958376518265
1995-01-01,0.556546771982266,"SELMAPROTBAS",0.508207557155877,0.519458866976598,0.815368154839851,0.549259764174131,0.701126424518191,0.459374199549506,0.395387836951288
1995-01-01,0.47015733919773,"WET",0.69015033887049,0.746784175069957,0.401892814925938,0.455151305934932,0.63971276687054,0.633793859321741,0.503838094117255
1995-01-02,0.539326598290425,"GLM",0.787659189620275,0.720317421984324,0.678804894061074,0.697176271820544,0.381182567038873,0.409563848753412,0.127934672172966
1995-01-02,0.546698723561147,"SELMAPROTBAS",0.511172171819915,0.530375237197421,0.815617372204564,0.552730719854649,0.660246873638969,0.457913302845629,0.396451784933199
1995-01-02,0.370891517762598,"WET",0.692157610858292,0.766263437629065,0.408753007476903,0.475457139890826,0.671442653575866,0.599245297166488,0.504079704781441
1995-01-03,0.757193646184604,"GLM",0.788261488667757,0.705649574828319,0.679951676839959,0.698294687329538,0.346747278290294,0.409657841919189,0.127939883110872
1995-01-03,0.53469337883818,"SELMAPROTBAS",0.51012585762436,0.512138399843838,0.815401633572818,0.552290762573389,0.638812885259767,0.45957008613764,0.397525292328883
1995-01-03,0.264005868983462,"WET",0.698312244635111,0.739087078019405,0.416841483861175,0.474777486286442,0.681641345452247,0.528847132747435,0.503538112368671
1995-01-04,0.740027553607075,"GLM",0.788359120000995,0.700986965573222,0.680161934948938,0.698190766746604,0.348009060840444,0.410250721534417,0.12792491952483
1995-01-04,0.540603598807607,"SELMAPROTBAS",0.508028651968809,0.528946084502049,0.81490764866908,0.54974965584533,0.628667975920842,0.464319784816733,0.398679411760079
1995-01-04,0.255622734135705,"WET",0.693432507422923,0.769222137337548,0.411297605480103,0.457078160720586,0.692675832033174,0.58361548586983,0.503296260442223
1995-01-05,0.738372252582232,"GLM",0.787213576997381,0.72772552789392,0.678176863908541,0.697105888567716,0.345609120169108,0.409481050204948,0.127861471462845
1995-01-05,0.530488042428368,"SELMAPROTBAS",0.508723779088706,0.536696992354424,0.814584741031565,0.550955339810905,0.616292779148162,0.464864507259726,0.399818545081014
1995-01-05,0.300723530536433,"WET",0.692393100034244,0.782463007786561,0.408730120453894,0.458778071436464,0.715384744668418,0.600464032527611,0.502893810667806
1995-01-06,0.698860804968693,"GLM",0.786171286257638,0.726996205038637,0.677480718006652,0.696729976630755,0.346386517691238,0.410132999771259,0.12784226975116
1995-01-06,0.528849063494745,"SELMAPROTBAS",0.50890650685458,0.53578880558415,0.814330499178445,0.551749365514142,0.606143899745756,0.465556496501172,0.400923287185622
1995-01-06,0.642918342096777,"WET",0.690105116392569,0.776966843319066,0.40766428325837,0.458172974221583,0.701913354659235,0.597294216932364,0.502915621292294
1995-01-07,0.590845890151505,"GLM",0.787896834552239,0.725036302881343,0.678370234618217,0.696741276658127,0.345468051962083,0.409640286202385,0.127838895223259
1995-01-07,0.518009929362179,"SELMAPROTBAS",0.511977854247883,0.538525921865915,0.814356694816235,0.555877403497627,0.592211115860495,0.462741202169274,0.401918692922541
1995-01-07,0.567691663678253,"WET",0.689130352743257,0.776063457165068,0.408191508628126,0.453841120342341,0.695312707580403,0.576398208296082,0.503293968511613
1995-01-08,0.63904192653827,"GLM",0.787938159945619,0.725578632373996,0.678480025084775,0.696761023548015,0.345693097541638,0.410126880001689,0.127837641417578
1995-01-08,0.522278692045601,"SELMAPROTBAS",0.512838492679588,0.539564144917786,0.814278249675058,0.557388986033228,0.579088547268384,0.462838645304976,0.402535471498551
1995-01-08,0.547495924581437,"WET",0.688012341568194,0.775063303236513,0.40751791836876,0.445814808625467,0.639125954217472,0.590442333287198,0.503553006510973
1995-01-09,0.66096232202392,"GLM",0.785316025499743,0.724670319092006,0.677084893029574,0.696702008595467,0.346697584372256,0.41022029076498,0.127829993069587
1995-01-09,0.530863286653045,"SELMAPROTBAS",0.511322966356707,0.537645967813761,0.814112747835522,0.556162176124323,0.581452193484112,0.465833247937719,0.403015732416111
1995-01-09,0.553691746101907,"WET",0.688119348596059,0.77269445784725,0.407046151352735,0.449225176816407,0.635818321125785,0.603703861901775,0.503897717433896
1995-01-10,0.619636740816058,"GLM",0.786047779862916,0.721123421932453,0.677314662582499,0.696630615528878,0.346224074003384,0.41007108367913,0.127827256156252
1995-01-10,0.526895855321427,"SELMAPROTBAS",0.512537025295877,0.537106004270765,0.814024802805158,0.558211539992746,0.574761527770785,0.465470886624368,0.402571412340756
1995-01-10,0.54287064402291,"WET",0.688268542339299,0.769556295007274,0.407751605100383,0.448980283508733,0.627308553150797,0.5903815625068,0.5041688407166
1995-01-11,0.569020143773381,"GLM",0.786745796272853,0.736873772139408,0.677223493944251,0.696295074122729,0.344512616318427,0.41052708168359,0.127810591151751
1995-01-11,0.517765771980064,"SELMAPROTBAS",0.515052191032245,0.539564133726494,0.814092074690046,0.561614700497999,0.567419330468046,0.463910317291715,0.400170210240588
1995-01-11,0.529936368171071,"WET",0.687865711646424,0.769969143419295,0.408423821082149,0.445689463121786,0.628094955620598,0.584512422388013,0.504414774136789
1995-01-12,0.589641885733409,"GLM",0.787148029661273,0.735090154033285,0.677623699026394,0.696586598394402,0.344032271938135,0.40986412023355,0.127817641239221
1995-01-12,0.517789104897001,"SELMAPROTBAS",0.516335367967067,0.540063694880612,0.814071031236585,0.563642678064776,0.560894948915408,0.464378276417431,0.394090639502146
